temporal_condition,excluded_local_date,province,metric,oriented_improvement
exclude_2026-06-18,2026-06-18,haiphong,p95_service_distance_km,4.109958730249507
exclude_2026-06-18,2026-06-18,haiphong,redundancy_jaccard,0.05955987361926479
exclude_2026-06-18,2026-06-18,haiphong,temporal_incremental_coverage,0.014882718889330805
exclude_2026-06-18,2026-06-18,haiphong,zone_gini,0.014422938515095426
exclude_2026-06-18,2026-06-18,haiphong,zone_jain,0.01579348393055662
exclude_2026-06-18,2026-06-18,hanoi,heldout_recall_2km,0.2907766734270458
exclude_2026-06-18,2026-06-18,hanoi,heldout_temporal_demand_capture,0.12176788162267023
exclude_2026-06-18,2026-06-18,hanoi,mean_service_distance_km,0.6622362793533512
exclude_2026-06-18,2026-06-18,hanoi,normalized_heldout_capture,0.5915652391155984
exclude_2026-06-18,2026-06-18,hanoi,p95_service_distance_km,5.384202193332954
exclude_2026-06-18,2026-06-18,hanoi,redundancy_jaccard,0.03586259779767647
exclude_2026-06-18,2026-06-18,hanoi,temporal_incremental_coverage,-0.08028226887342575
exclude_2026-06-18,2026-06-18,hanoi,zone_gini,0.04433831305003655
exclude_2026-06-18,2026-06-18,hanoi,zone_jain,0.049815356453682146
exclude_2026-06-18,2026-06-18,hochiminh,heldout_recall_2km,0.24734172281794464
exclude_2026-06-18,2026-06-18,hochiminh,heldout_temporal_demand_capture,0.11779636514816183
exclude_2026-06-18,2026-06-18,hochiminh,mean_service_distance_km,2.664325078007107
exclude_2026-06-18,2026-06-18,hochiminh,normalized_heldout_capture,0.3264394069588504
exclude_2026-06-18,2026-06-18,hochiminh,p95_service_distance_km,6.812656533358723
exclude_2026-06-18,2026-06-18,hochiminh,redundancy_jaccard,0.002657653302227505
exclude_2026-06-18,2026-06-18,hochiminh,temporal_incremental_coverage,0.02059468361785032
exclude_2026-06-18,2026-06-18,hochiminh,zone_gini,0.03812383832160752
exclude_2026-06-18,2026-06-18,hochiminh,zone_jain,0.04265185034327764
exclude_2026-06-19,2026-06-19,cantho,heldout_recall_2km,0.03297017937629021
exclude_2026-06-19,2026-06-19,cantho,heldout_temporal_demand_capture,-0.010877777477689083
exclude_2026-06-19,2026-06-19,cantho,mean_service_distance_km,3.7545827523101036
exclude_2026-06-19,2026-06-19,cantho,normalized_heldout_capture,0.23351920673821655
exclude_2026-06-19,2026-06-19,cantho,p95_service_distance_km,17.377381824805116
exclude_2026-06-19,2026-06-19,cantho,redundancy_jaccard,0.3662674348264419
exclude_2026-06-19,2026-06-19,cantho,temporal_incremental_coverage,-0.022108548064854794
exclude_2026-06-19,2026-06-19,cantho,zone_gini,0.04612776858679705
exclude_2026-06-19,2026-06-19,cantho,zone_jain,0.05102861094009307
exclude_2026-06-19,2026-06-19,danang,heldout_recall_2km,0.03356123975164548
exclude_2026-06-19,2026-06-19,danang,heldout_temporal_demand_capture,0.024127144075602142
exclude_2026-06-19,2026-06-19,danang,mean_service_distance_km,2.218195847910097
exclude_2026-06-19,2026-06-19,danang,normalized_heldout_capture,0.16493427629045257
exclude_2026-06-19,2026-06-19,danang,p95_service_distance_km,11.75077213405424
exclude_2026-06-19,2026-06-19,danang,redundancy_jaccard,0.16507372184817798
exclude_2026-06-19,2026-06-19,danang,temporal_incremental_coverage,-0.004739930280095288
exclude_2026-06-19,2026-06-19,danang,zone_gini,0.027619065823838513
exclude_2026-06-19,2026-06-19,danang,zone_jain,0.0310988335426224
