temporal_condition,excluded_local_date,province,block_id,metric,b5,b6,raw_b6_minus_b5,oriented_improvement
full_reaggregated,,hochiminh,0,heldout_temporal_demand_capture,0.12915334962009659,0.27264260919566885,0.14348925957557226,0.14348925957557226
full_reaggregated,,hochiminh,0,normalized_heldout_capture,0.28114686152444895,0.5935007811928389,0.31235391966838993,0.31235391966838993
full_reaggregated,,hochiminh,0,heldout_recall_2km,0.2993477521343337,0.5171030036843696,0.2177552515500359,0.2177552515500359
full_reaggregated,,hochiminh,0,temporal_incremental_coverage,0.12225416124503574,0.1757537245695463,0.05349956332451056,0.05349956332451056
full_reaggregated,,hochiminh,0,zone_jain,0.34392462432931376,0.38923983012582397,0.045315205796510216,0.045315205796510216
full_reaggregated,,hochiminh,0,zone_gini,0.6933105056811824,0.6535916892863396,-0.03971881639484276,0.03971881639484276
full_reaggregated,,hochiminh,0,mean_service_distance_km,4.175793459810422,1.5604808363287432,-2.615312623481679,2.615312623481679
full_reaggregated,,hochiminh,0,p95_service_distance_km,13.668544516182692,6.760231890534339,-6.908312625648353,6.908312625648353
full_reaggregated,,hochiminh,0,redundancy_jaccard,0.03437365333202691,0.03546178421873907,0.0010881308867121617,-0.0010881308867121617
full_reaggregated,,hochiminh,1,heldout_temporal_demand_capture,0.15785488612416282,0.20639344955326067,0.04853856342909785,0.04853856342909785
full_reaggregated,,hochiminh,1,normalized_heldout_capture,0.263944378866449,0.3451042421429391,0.08115986327649011,0.08115986327649011
full_reaggregated,,hochiminh,1,heldout_recall_2km,0.3648751102392253,0.44177079719676093,0.07689568695753562,0.07689568695753562
full_reaggregated,,hochiminh,1,temporal_incremental_coverage,0.21179952427190024,0.21672198909372553,0.00492246482182529,0.00492246482182529
full_reaggregated,,hochiminh,1,zone_jain,0.2555262516477406,0.2773464960866878,0.0218202444389472,0.0218202444389472
full_reaggregated,,hochiminh,1,zone_gini,0.7700368752294271,0.749521115991749,-0.02051575923767812,0.02051575923767812
full_reaggregated,,hochiminh,1,mean_service_distance_km,3.8603014185949203,1.634231416732582,-2.2260700018623383,2.2260700018623383
full_reaggregated,,hochiminh,1,p95_service_distance_km,6.832857818579551,4.935047833922207,-1.8978099846573446,1.8978099846573446
full_reaggregated,,hochiminh,1,redundancy_jaccard,0.029335693811807655,0.03283659200876489,0.003500898196957234,-0.003500898196957234
full_reaggregated,,hochiminh,2,heldout_temporal_demand_capture,0.006045487635031063,0.18118732811391855,0.17514184047888748,0.17514184047888748
full_reaggregated,,hochiminh,2,normalized_heldout_capture,0.020996179261179988,0.6292696057949217,0.6082734265337417,0.6082734265337417
full_reaggregated,,hochiminh,2,heldout_recall_2km,0.01980232765447648,0.4499481914634529,0.4301458638089764,0.4301458638089764
full_reaggregated,,hochiminh,2,temporal_incremental_coverage,0.09543235712625797,0.1000483738475271,0.004616016721269128,0.004616016721269128
full_reaggregated,,hochiminh,2,zone_jain,0.3314899971074873,0.39235877817247583,0.06086878106498855,0.06086878106498855
full_reaggregated,,hochiminh,2,zone_gini,0.7043245760772168,0.6507107487037298,-0.053613827373486966,0.053613827373486966
full_reaggregated,,hochiminh,2,mean_service_distance_km,4.370545641870398,1.3321036933223158,-3.0384419485480816,3.0384419485480816
full_reaggregated,,hochiminh,2,p95_service_distance_km,16.10831422821551,4.479331560955123,-11.628982667260384,11.628982667260384
full_reaggregated,,hochiminh,2,redundancy_jaccard,0.03382389585218543,0.021369732285227903,-0.01245416356695753,0.01245416356695753
full_reaggregated,,haiphong,0,heldout_temporal_demand_capture,0.0,0.12302149650992122,0.12302149650992122,0.12302149650992122
full_reaggregated,,haiphong,0,normalized_heldout_capture,0.0,0.7943163413672467,0.7943163413672467,0.7943163413672467
full_reaggregated,,haiphong,0,heldout_recall_2km,0.0,0.17479893927048837,0.17479893927048837,0.17479893927048837
full_reaggregated,,haiphong,0,temporal_incremental_coverage,0.03929603743043773,0.04724658395246363,0.007950546522025898,0.007950546522025898
full_reaggregated,,haiphong,0,zone_jain,0.27398496260403016,0.299802597505415,0.025817634901384834,0.025817634901384834
full_reaggregated,,haiphong,0,zone_gini,0.7555656452082022,0.7320795538646998,-0.023486091343502435,0.023486091343502435
full_reaggregated,,haiphong,0,mean_service_distance_km,4.297637187198271,1.8225487006460293,-2.4750884865522416,2.4750884865522416
full_reaggregated,,haiphong,0,p95_service_distance_km,18.195400664653324,5.622934734206533,-12.572465930446791,12.572465930446791
full_reaggregated,,haiphong,0,redundancy_jaccard,0.1978262462140769,0.09693877551020409,-0.10088747070387281,0.10088747070387281
full_reaggregated,,haiphong,1,heldout_temporal_demand_capture,0.06892542331499904,0.11886229130027492,0.049936867985275885,0.049936867985275885
full_reaggregated,,haiphong,1,normalized_heldout_capture,0.18275591508569006,0.31516363296729216,0.1324077178816021,0.1324077178816021
full_reaggregated,,haiphong,1,heldout_recall_2km,0.16764884995320384,0.20766173384434733,0.04001288389114349,0.04001288389114349
full_reaggregated,,haiphong,1,temporal_incremental_coverage,0.13236507959783075,0.17285035689158376,0.04048527729375301,0.04048527729375301
full_reaggregated,,haiphong,1,zone_jain,0.16881632200293706,0.16187880449898662,-0.006937517503950441,-0.006937517503950441
full_reaggregated,,haiphong,1,zone_gini,0.8490757791708103,0.8550674335912816,0.005991654420471226,-0.005991654420471226
full_reaggregated,,haiphong,1,mean_service_distance_km,5.14223886340946,5.8905332332444855,0.7482943698350253,-0.7482943698350253
full_reaggregated,,haiphong,1,p95_service_distance_km,14.64398082174852,18.024457178772646,3.3804763570241256,-3.3804763570241256
full_reaggregated,,haiphong,1,redundancy_jaccard,0.1781704137220598,0.22690585142998534,0.048735437707925544,-0.048735437707925544
full_reaggregated,,haiphong,2,heldout_temporal_demand_capture,0.0,0.09363820013826578,0.09363820013826578,0.09363820013826578
full_reaggregated,,haiphong,2,normalized_heldout_capture,0.0,0.9379684151603089,0.9379684151603089,0.9379684151603089
