partition_mode,block_seed,province,block_id,metric,b5,b6,raw_b6_minus_b5,oriented_improvement
kmeans,5,haiphong,2,heldout_recall_2km,0.0,0.17479893927048834,0.17479893927048834,0.17479893927048834
kmeans,5,haiphong,2,temporal_incremental_coverage,0.03929603743043773,0.04724658395246363,0.007950546522025898,0.007950546522025898
kmeans,5,haiphong,2,zone_jain,0.27398496260403155,0.2998025975054161,0.025817634901384556,0.025817634901384556
kmeans,5,haiphong,2,zone_gini,0.7555656452082011,0.7320795538646996,-0.023486091343501547,0.023486091343501547
kmeans,5,haiphong,2,mean_service_distance_km,4.297637187198269,1.822548700646029,-2.4750884865522402,2.4750884865522402
kmeans,5,haiphong,2,p95_service_distance_km,18.195400664653324,5.622934734206533,-12.572465930446791,12.572465930446791
kmeans,5,haiphong,2,redundancy_jaccard,0.1978262462140769,0.09693877551020409,-0.10088747070387281,0.10088747070387281
kmeans,5,danang,0,heldout_temporal_demand_capture,0.10036502877409331,0.15622515303237966,0.05586012425828635,0.05586012425828635
kmeans,5,danang,0,normalized_heldout_capture,0.14332222692948088,0.22309102192754163,0.07976879499806075,0.07976879499806075
kmeans,5,danang,0,heldout_recall_2km,0.28731400891913667,0.35756647369529243,0.07025246477615577,0.07025246477615577
kmeans,5,danang,0,temporal_incremental_coverage,0.20047625448244732,0.21831064756812227,0.017834393085674943,0.017834393085674943
kmeans,5,danang,0,zone_jain,0.11364176672443389,0.12284056803611766,0.009198801311683769,0.009198801311683769
kmeans,5,danang,0,zone_gini,0.8978815119657986,0.8896741274637567,-0.008207384502041837,0.008207384502041837
kmeans,5,danang,0,mean_service_distance_km,5.1916500393031795,4.562528108008098,-0.6291219312950815,0.6291219312950815
kmeans,5,danang,0,p95_service_distance_km,23.356528626471526,23.356528626471526,0.0,0.0
kmeans,5,danang,0,redundancy_jaccard,0.22321410989398105,0.13285714673961388,-0.09035696315436717,0.09035696315436717
kmeans,5,danang,1,heldout_temporal_demand_capture,0.0,0.006254178770602357,0.006254178770602357,0.006254178770602357
kmeans,5,danang,1,normalized_heldout_capture,0.0,0.23592951826529798,0.23592951826529798,0.23592951826529798
kmeans,5,danang,1,heldout_recall_2km,0.0,0.019186201004722653,0.019186201004722653,0.019186201004722653
kmeans,5,danang,1,temporal_incremental_coverage,0.11748056484235908,0.1070587968731675,-0.010421767969191587,-0.010421767969191587
kmeans,5,danang,1,zone_jain,0.20475286345523325,0.24553631772505005,0.040783454269816805,0.040783454269816805
kmeans,5,danang,1,zone_gini,0.8173072529391472,0.780772216989212,-0.036535035949935235,0.036535035949935235
kmeans,5,danang,1,mean_service_distance_km,8.175942614258972,3.2584039450323807,-4.917538669226591,4.917538669226591
kmeans,5,danang,1,p95_service_distance_km,37.46810858552745,14.891503355212258,-22.576605230315195,22.576605230315195
