pair_unit,budget_fraction,reference,baseline,metric,higher_is_better,n_pairs,raw_reference_minus_baseline_mean,oriented_improvement_mean,oriented_improvement_median,bootstrap_ci95_low,bootstrap_ci95_high,win_share,tie_share,wilcoxon_p_two_sided
province_block,0.02,B6_evspark_cover,B2_poi_density,zone_gini,False,15,-0.019600110391640942,0.019600110391640942,0.024566979703234182,0.013362621118766706,0.025140003801178763,0.8666666666666667,0.0,0.00030517578125
province_block,0.02,B6_evspark_cover,B2_poi_density,mean_service_distance_km,False,15,-2.631202044891169,2.631202044891169,1.3916908941573745,1.1962818550256535,4.431421867595593,0.9333333333333333,0.0,0.00030517578125
province_block,0.02,B6_evspark_cover,B2_poi_density,p95_service_distance_km,False,15,-8.25151585668644,8.25151585668644,3.349715853805346,3.125678314662032,14.723704533632473,0.8,0.13333333333333333,0.0057715890441035304
province_block,0.02,B6_evspark_cover,B2_poi_density,redundancy_jaccard,False,15,-0.4008486209337811,0.4008486209337811,0.4735328562155102,0.29303232717934585,0.5023630649251852,0.9333333333333333,0.0,0.000803313257091444
province_block,0.02,B6_evspark_cover,B2_poi_density,runtime_seconds,False,15,0.12446608693330745,-0.12446608693330745,-0.04116455000030328,-0.23227648835330228,-0.0466176242049907,0.0,0.0,6.103515625e-05
province_block,0.02,B6_evspark_cover,B3_temporal_rank,heldout_temporal_demand_capture,True,15,0.04465699748724028,0.04465699748724028,0.030870820891347586,0.02350106114187103,0.06656625168400222,0.7333333333333333,0.26666666666666666,0.0033456181158508813
province_block,0.02,B6_evspark_cover,B3_temporal_rank,normalized_heldout_capture,True,13,0.2826984789846925,0.2826984789846925,0.22468458340818367,0.14666244343503687,0.44011408889007914,0.8461538461538461,0.15384615384615385,0.0009765625
province_block,0.02,B6_evspark_cover,B3_temporal_rank,heldout_recall_1km,True,15,0.04646511035628582,0.04646511035628582,0.03411955431648427,0.023481489814689,0.07056051253264196,0.7333333333333333,0.26666666666666666,0.0033456181158508813
province_block,0.02,B6_evspark_cover,B3_temporal_rank,heldout_recall_2km,True,15,0.13914933794903975,0.13914933794903975,0.15772690206059523,0.07659557047683084,0.20638418313013496,0.7333333333333333,0.26666666666666666,0.0033456181158508813
province_block,0.02,B6_evspark_cover,B3_temporal_rank,heldout_top25_recall_2km,True,15,0.14486004537034286,0.14486004537034286,0.12499999999999999,0.07539445897352075,0.21917372408293462,0.6,0.4,0.007685794055213263
province_block,0.02,B6_evspark_cover,B3_temporal_rank,temporal_incremental_coverage,True,15,-0.008993406626951451,-0.008993406626951451,-0.005693482357112686,-0.03666235540204126,0.015681297670212094,0.26666666666666666,0.13333333333333333,0.6001794871405539
province_block,0.02,B6_evspark_cover,B3_temporal_rank,bottom20_final_coverage,True,15,-0.02777910943372101,-0.02777910943372101,0.02312179841098404,-0.1295419555155016,0.04597867376581913,0.6666666666666666,0.13333333333333333,0.17295491798842066
province_block,0.02,B6_evspark_cover,B3_temporal_rank,zone_jain,True,15,0.022069861414103872,0.022069861414103872,0.028194596930620958,0.014893458081816066,0.028609056889266283,0.8666666666666667,0.13333333333333333,0.0014737808438751421
province_block,0.02,B6_evspark_cover,B3_temporal_rank,zone_gini,False,15,-0.019895171107706652,0.019895171107706652,0.025850871625132,0.013648961426892918,0.025814804990511857,0.8666666666666667,0.13333333333333333,0.0014737808438751421
province_block,0.02,B6_evspark_cover,B3_temporal_rank,mean_service_distance_km,False,15,-2.482929308466715,2.482929308466715,1.1144736290365103,1.0359540529125082,4.40849866880258,0.8666666666666667,0.13333333333333333,0.0014737808438751421
province_block,0.02,B6_evspark_cover,B3_temporal_rank,p95_service_distance_km,False,15,-8.467580689803548,8.467580689803548,3.349715853805346,3.3878012376024413,14.786353422297713,0.7333333333333333,0.26666666666666666,0.0033456181158508813
province_block,0.02,B6_evspark_cover,B3_temporal_rank,redundancy_jaccard,False,15,-0.28797696328508554,0.28797696328508554,0.2754457186937089,0.19228308279218984,0.38010137824324136,0.8666666666666667,0.13333333333333333,0.0014688499662158375
province_block,0.02,B6_evspark_cover,B3_temporal_rank,runtime_seconds,False,15,0.12376235459989099,-0.12376235459989099,-0.04133303700018587,-0.22845079449320452,-0.04711215368989506,0.0,0.0,6.103515625e-05
