province,budget_fraction,method,heldout_temporal_demand_capture,normalized_heldout_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,runtime_seconds,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_recall_1km,normalized_heldout_recall_2km
danang,0.05,B4_weighted_spatial_diversity,0.007026115114817408,0.12754097198989317,0.007411296024560594,0.049442666681768575,0.057971014492753624,0.02461789803520179,0.035290202363177404,0.2145830502723424,0.8082684761251645,4.381982277321428,14.677486542395302,0.0021367521367521365,0.0027088613333035028,0.2422613557513289,0.271283941507836,0.31418155835261735,0.10614452879050945,0.16209249148203778
danang,0.05,B5_static_coverage,0.03345500959136444,0.07166111346474044,0.039945676494338174,0.09577133630637889,0.11594202898550725,0.1451457947223885,0.1875194668302579,0.1888474116071723,0.8311986465672775,6.114532794843373,33.43028929053812,0.24513163475157407,0.06025698266663918,0.2422613557513289,0.271283941507836,0.31418155835261735,0.0772721278209465,0.17009097435883186
danang,0.05,B6_evspark_cover,0.05415977726766067,0.2295102700964198,0.05620072360938349,0.125584224900005,0.10144927536231885,0.14284225871002557,0.20403440941309117,0.21950085942923145,0.8040117533778884,3.84878685241117,21.679517156483872,0.07857499450855891,0.053786796666675706,0.2422613557513289,0.271283941507836,0.31418155835261735,0.20052427687612795,0.3096139995511934
danang,0.1,B1_random,0.09099702620510784,0.23635281990523682,0.10954488429937274,0.2224064317123674,0.24347826086956517,0.13116098131389017,0.12599027082337869,0.23474799821773776,0.7901988200813198,4.622892141687837,29.346049296884313,0.023850939490673944,0.000671662066638924,0.2422613557513289,0.271283941507836,0.31418155835261735,0.24304893184783088,0.48081352928712107
danang,0.1,B2_poi_density,0.06689154843448582,0.14328266232012069,0.0741367781837552,0.13787832115769375,0.15942028985507248,0.2008564667683251,0.23010227009508458,0.19467057111513722,0.826012693637218,5.932033791951774,33.43028929053812,0.21135698432251293,0.0008070250000855594,0.2422613557513289,0.271283941507836,0.31418155835261735,0.14341243165227824,0.2448734547636259
danang,0.1,B3_temporal_rank,0.07629877935022926,0.16343308673417062,0.0944689557492087,0.1309675591129296,0.14492753623188406,0.1979115883911717,0.223588863792841,0.19500011387391233,0.8256566015185228,5.920814143655362,33.43028929053812,0.18429357521325584,0.0010688940001273295,0.2422613557513289,0.271283941507836,0.31418155835261735,0.1827436124357252,0.2325998633625871
danang,0.1,B4_weighted_spatial_diversity,0.012067956016482738,0.13934898138476365,0.012921228530978155,0.060038508504052894,0.057971014492753624,0.05182998247215811,0.05046374056860575,0.26344353405826154,0.7644466670742783,3.5945047339803256,11.992728570748275,0.001955821955821956,0.00656884166664895,0.2422613557513289,0.271283941507836,0.31418155835261735,0.11680310929999296,0.19320406734381965
danang,0.1,B5_static_coverage,0.10973272614795458,0.23504908339089656,0.11659401693950928,0.18816922699626515,0.2028985507246377,0.202717655668221,0.26321794209356775,0.21375282722099073,0.809254725939842,5.718822927733824,33.43028929053812,0.1115897451096894,0.1332678083332818,0.2422613557513289,0.271283941507836,0.31418155835261735,0.22554300166588365,0.33419067122290097
danang,0.1,B6_evspark_cover,0.11097519855295583,0.6863223587219451,0.13694295308839494,0.20462562263433334,0.22173913043478258,0.1947957401272742,0.2532013148156476,0.26345906033659344,0.7648952472557567,3.481631949054643,20.849513163422056,0.048430290169397004,0.06923975599996386,0.2422613557513289,0.271283941507836,0.31418155835261735,0.7401267185896651,0.589900250938733
haiphong,0.02,B1_random,0.01593790738409863,0.07150429658333109,0.01850703747121395,0.04635880478230742,0.03912698412698413,0.025682605259624024,0.025709254767500443,0.22160645973110213,0.8017965806686252,4.741242097246198,13.665722200831686,0.028073048502792866,0.00035844068887248186,0.2106175887303832,0.247393774820483,0.39855169452478095,0.07551600681559976,0.10532691656565922
