province,block_id,budget_fraction,method,heldout_temporal_demand_capture,normalized_heldout_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,runtime_seconds,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_recall_1km,normalized_heldout_recall_2km
haiphong,0,0.05,B2_poi_density,0.07578773847144837,0.20095135917156456,0.08051784641186698,0.15718658188297385,0.15,0.0803450472266535,0.2411148319162626,0.1591593322168448,0.8577642098067224,5.743665127173331,15.01263499483031,0.2948428758617245,0.00032366699997510295,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.17242443335011737,0.2578284533204384
haiphong,0,0.05,B3_temporal_rank,0.1215517721606433,0.3222947975231594,0.11958059967680523,0.1853221245087256,0.15,0.17633293721305715,0.15138132680474262,0.15808205815222054,0.8587919276075615,5.984530878477062,17.897174291708527,0.2366431356667135,0.00043183499974475126,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.2560751194644661,0.30397834316236894
haiphong,0,0.05,B4_weighted_spatial_diversity,0.00042127878769987454,0.0011170216539754853,0.0,0.010746296390912936,0.0,0.021635897583241834,0.012918235362174188,0.15987945768698114,0.8571638678483451,6.699096171504501,14.837692518530252,0.0,0.0015237030002026586,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.0,0.0176268288565171
haiphong,0,0.05,B5_static_coverage,0.06892542331499901,0.18275591508568995,0.08998042814058578,0.16764884995320378,0.15,0.13236507959783078,0.2504306262240188,0.16881632200293717,0.8490757791708106,5.142238863409459,14.64398082174852,0.1781704137220598,0.03549485600024127,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.1926880191924114,0.27498939900967967
haiphong,0,0.05,B6_evspark_cover,0.1188622913002749,0.31516363296729205,0.10191308624280032,0.2076617338443473,0.2,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.03544039899998097,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.21824113447458804,0.34062133681862367
haiphong,0,0.1,B1_random,0.13034390063917264,0.34560714597695447,0.15042449588087178,0.36399541753272013,0.2866666666666667,0.1508506435953056,0.16738512148640783,0.2199866933968017,0.8034650832086608,3.3934357764499143,10.130766770809078,0.02761335392733705,0.0005513573333246313,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.32212558606651615,0.5970508067161799
haiphong,0,0.1,B2_poi_density,0.12189303604243874,0.32319965947399854,0.14684184787029744,0.20958282747561796,0.15,0.1441279322942387,0.3348806448960148,0.1776371890223066,0.8414492216264009,5.279055450794934,15.01263499483031,0.25424695372225786,0.000749318999623938,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.3144535471255297,0.34377244929718764
haiphong,0,0.1,B3_temporal_rank,0.12678475652673116,0.33617006735041605,0.12729333044144148,0.22095593340690378,0.2,0.2402928719966464,0.2240238875641945,0.1712548989759544,0.847067427987906,5.642780986028856,17.261399096245814,0.21325988828844883,0.0005610709999928076,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.27259149801825744,0.36242741511288334
haiphong,0,0.1,B4_weighted_spatial_diversity,0.0015252029117587673,0.004044078954088558,0.001290719230670489,0.02138153779648762,0.0,0.046803548897722584,0.024531775528644433,0.21099892647812576,0.8113687891075154,4.330722053648035,8.585534344549954,0.0,0.002732387000378367,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.002764002539561939,0.03507149753905318
haiphong,0,0.1,B5_static_coverage,0.11978878282650826,0.31762022733483175,0.17009769413910408,0.24705137068218214,0.2,0.21259373261737008,0.3391308405914156,0.19408910709866303,0.8269191958850992,4.574265344460473,11.910883042488804,0.12975554503022604,0.054052725000019564,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.364254632147911,0.40523098110946865
haiphong,0,0.1,B6_evspark_cover,0.18338748882351866,0.4862523394602871,0.16233424974485788,0.46913980468846295,0.4,0.25699366965337356,0.24706052962907293,0.19986895282353664,0.821578862369432,4.599620488672885,12.903699158837739,0.12020306625856701,0.05297923699981766,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.34762965321248634,0.7695160031148999
haiphong,1,0.02,B1_random,0.016621895723208366,0.10732305956286248,0.018409929404773654,0.02115112217755172,0.019047619047619046,0.022418276364073016,0.010465250073662603,0.26766641988186524,0.7605897253084148,3.953126473307699,15.059669635319315,0.04208463251556309,0.0003711061333736628,0.1548772071063852,0.17889771595931192,0.21487473313393338,0.10290757098855732,0.09843466409039371
haiphong,1,0.02,B2_poi_density,0.0,0.0,0.0,0.0,0.0,0.01693566166712681,0.171702878550584,0.27130704904404707,0.7573303725206193,4.359728247657084,18.195400664653324,0.25403808968066,0.0005584040000030654,0.1548772071063852,0.17889771595931192,0.21487473313393335,0.0,0.0
