run_key,status,fold,province,block_id,service_radius,sigma_ratio,tau,candidate_count,poi_count,hidden_stations,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
service|2|nghean|0|4.0|0.5|0.5,ok,2,nghean,0,4.0,0.5,0.5,48,370,33,3,3,0.24888143933842494,0.07797257697147363,0.03930441070244262,0.14801972559059412,0.8671965883453898,4.7765233702281185,24.638456905101616,0.0,28.60124577224949,0.0,0.0,0.0,0.0,27.402161633365978,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.003973928999812415
service|2|nghean|0|4.0|0.5|1.0,ok,2,nghean,0,4.0,0.5,1.0,48,370,33,3,3,0.17278364540543345,0.06397360248212675,0.041307639992577735,0.14325325605312791,0.8711777614567069,4.997710716150981,24.638456905101616,0.17543859649122806,1.547703890362654,0.0,0.0,0.0,0.0,29.61980337459319,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,1.547703890362654,5.632331209337755,0.004060720000097717
service|2|nghean|0|4.0|0.5|2.0,ok,2,nghean,0,4.0,0.5,2.0,48,370,33,3,3,0.10782034549430242,0.059721295066256744,0.0451576359018222,0.13700071363567434,0.8766168452290475,8.315303922373994,42.63148918868633,0.6661793372319688,0.6176296636726241,0.0,0.0,0.0,0.0,39.08648572398779,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,57,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.007128282000167019
service|2|nghean|0|4.0|0.75|0.5,ok,2,nghean,0,4.0,0.75,0.5,48,370,33,3,3,0.27542152385474017,0.07797257697147363,0.03930441070244262,0.14801972559059412,0.8671965883453898,4.7765233702281185,24.638456905101616,0.0,28.60124577224949,0.0,0.0,0.0,0.0,27.402161633365978,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.003949961999978768
service|2|nghean|0|4.0|0.75|1.0,ok,2,nghean,0,4.0,0.75,1.0,48,370,33,3,3,0.19855031211209026,0.06397360248212675,0.041307639992577735,0.14325325605312791,0.8711777614567069,4.997710716150981,24.638456905101616,0.17543859649122806,1.547703890362654,0.0,0.0,0.0,0.0,29.61980337459319,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,58,3,0,0,True,True,True,True,True,True,True,True,1.547703890362654,5.632331209337755,0.004088848000037615
service|2|nghean|0|4.0|0.75|2.0,ok,2,nghean,0,4.0,0.75,2.0,48,370,33,3,3,0.13314133121516908,0.059721295066256744,0.0451576359018222,0.13700071363567434,0.8766168452290475,8.315303922373994,42.63148918868633,0.6661793372319688,0.6176296636726241,0.0,0.0,0.0,0.0,39.08648572398779,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,58,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.004183651999937865
service|2|nghean|0|5.0|0.35|0.5,ok,2,nghean,0,5.0,0.35,0.5,48,370,33,3,3,0.23918262298095713,0.07797257697147363,0.03930441070244262,0.14801972559059412,0.8671965883453898,4.7765233702281185,24.638456905101616,0.0,28.60124577224949,0.0,0.0,0.0,0.0,27.402161633365978,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.004148356999849057
service|2|nghean|0|5.0|0.35|1.0,ok,2,nghean,0,5.0,0.35,1.0,48,370,33,3,3,0.1615193773255191,0.07797257697147363,0.03930441070244262,0.14801972559059412,0.8671965883453898,4.7765233702281185,24.638456905101616,0.0,28.60124577224949,0.0,0.0,0.0,0.0,27.402161633365978,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.0040583099998912076
service|2|nghean|0|5.0|0.35|2.0,ok,2,nghean,0,5.0,0.35,2.0,48,370,33,3,3,0.09899163442762048,0.0749670429629429,0.04418401864668447,0.14208767407065978,0.8724510460599522,5.029678520311589,24.638456905101616,0.3055555555555555,0.6176296636726241,0.0,0.0,0.0,0.0,29.328314098995904,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.009072768999885739
service|2|nghean|0|5.0|0.5|0.5,ok,2,nghean,0,5.0,0.5,0.5,48,370,33,3,3,0.263732209206878,0.07797257697147363,0.03930441070244262,0.14801972559059412,0.8671965883453898,4.7765233702281185,24.638456905101616,0.0,28.60124577224949,0.0,0.0,0.0,0.0,27.402161633365978,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.004285714999923584
