run_key,status,fold,province,block_id,local_passes,candidate_count,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
local|1|hungyen|1|1,ok,1,hungyen,1,1,177,9,9,0.22044128401621685,0.09971782746438487,0.28343842339426895,0.2218964402673645,0.7966828023296375,2.8547709091619016,10.392762799117616,0.15987828548776528,0.5353316577481446,0.22711629820617613,0.30533978048492116,0.3796826730491485,0.5,5.440786119786396,0.5772965826660911,0.5975303800738792,0.6465385921566069,0.3934135503752677,0.5110029392098335,0.5872544619226386,500,9,1,900,True,True,True,True,True,True,True,True,0.5353316577481446,5.698192696093921,0.2296412529999543
local|1|hungyen|1|3,ok,1,hungyen,1,3,177,9,9,0.22048524760538685,0.09945280971339235,0.2839474709139402,0.22180659472416425,0.796697528281747,2.854850059058778,10.392762799117616,0.16947963703409993,0.5111795921953013,0.22786030333632526,0.30533978048492116,0.3796826730491485,0.5,5.44439089988844,0.5772965826660911,0.5975303800738792,0.6465385921566069,0.3947023249020684,0.5110029392098335,0.5872544619226386,500,9,2,2700,True,True,True,True,True,True,True,True,0.5111795921953013,5.698192696093921,0.5329362689999471
local|1|lamdong|0|0,ok,1,lamdong,0,0,165,9,9,0.23103145045569856,0.13266139809077143,0.27840866455258223,0.13377007336482394,0.8802363562212199,8.216895400086445,46.41842695252664,0.20491907244699423,0.5834881682596379,0.08760128491044908,0.08688220911091837,0.23350001839482407,0.23809523809523808,34.46374892020677,0.27910615527700866,0.2691027237814704,0.4610410290689132,0.3138636796580359,0.32285889897373393,0.506462556849625,222,9,0,0,True,True,True,True,True,True,True,True,0.5834881682596379,35.49498022792253,0.020603422000021965
local|1|lamdong|0|1,ok,1,lamdong,0,1,165,9,9,0.23103145045569856,0.13266139809077143,0.27840866455258223,0.13377007336482394,0.8802363562212199,8.216895400086445,46.41842695252664,0.20491907244699423,0.5834881682596379,0.08760128491044908,0.08688220911091837,0.23350001839482407,0.23809523809523808,34.46374892020677,0.27910615527700866,0.2691027237814704,0.4610410290689132,0.3138636796580359,0.32285889897373393,0.506462556849625,222,9,0,900,True,True,True,True,True,True,True,True,0.5834881682596379,35.49498022792253,0.2787887099998443
local|1|lamdong|0|3,ok,1,lamdong,0,3,165,9,9,0.23103145045569856,0.13266139809077143,0.27840866455258223,0.13377007336482394,0.8802363562212199,8.216895400086445,46.41842695252664,0.20491907244699423,0.5834881682596379,0.08760128491044908,0.08688220911091837,0.23350001839482407,0.23809523809523808,34.46374892020677,0.27910615527700866,0.2691027237814704,0.4610410290689132,0.3138636796580359,0.32285889897373393,0.506462556849625,222,9,0,900,True,True,True,True,True,True,True,True,0.5834881682596379,35.49498022792253,0.2925936090000505
local|1|lamdong|1|0,ok,1,lamdong,1,0,154,8,8,0.16155232991279175,0.08129503451602138,0.07148872480369563,0.21809860505886086,0.8046518705830197,4.019758312267957,16.48885377296028,0.10263579263219422,0.5967671375122964,0.0029973704767973577,0.0,0.00877851471565955,0.0,34.235576163757244,0.05438713526836533,0.057271788197484554,0.10842234880720172,0.05511175505029403,0.0,0.08096591535080687,168,8,0,0,True,True,True,True,True,True,True,True,0.5967671375122964,0.5091104637836878,0.01486117300009937
local|1|lamdong|1|1,ok,1,lamdong,1,1,154,8,8,0.16155232991279175,0.08129503451602138,0.07148872480369563,0.21809860505886086,0.8046518705830197,4.019758312267957,16.48885377296028,0.10263579263219422,0.5967671375122964,0.0029973704767973577,0.0,0.00877851471565955,0.0,34.235576163757244,0.05438713526836533,0.057271788197484554,0.10842234880720172,0.05511175505029403,0.0,0.08096591535080687,168,8,0,800,True,True,True,True,True,True,True,True,0.5967671375122964,0.5091104637836878,0.24359992499989858
local|1|lamdong|1|3,ok,1,lamdong,1,3,154,8,8,0.16155232991279175,0.08129503451602138,0.07148872480369563,0.21809860505886086,0.8046518705830197,4.019758312267957,16.48885377296028,0.10263579263219422,0.5967671375122964,0.0029973704767973577,0.0,0.00877851471565955,0.0,34.235576163757244,0.05438713526836533,0.057271788197484554,0.10842234880720172,0.05511175505029403,0.0,0.08096591535080687,168,8,0,800,True,True,True,True,True,True,True,True,0.5967671375122964,0.5091104637836878,0.25390704300002653
local|1|sonla|0|0,ok,1,sonla,0,0,22,2,2,0.1376321575440493,0.11393123048053119,0.024708802792519868,0.09940870468924698,0.9097656383268828,9.778142421001313,42.94958985605909,1.0,0.7329085543719109,0.0,0.0,0.0,0.0,27.289125120148668,0.0,0.0,0.0,,,,23,2,0,0,True,True,True,True,True,True,True,True,0.7329085543719109,58.479600468572194,0.001805749999903128
local|1|sonla|0|1,ok,1,sonla,0,1,22,2,2,0.1376321575440493,0.11393123048053119,0.024708802792519868,0.09940870468924698,0.9097656383268828,9.778142421001313,42.94958985605909,1.0,0.7329085543719109,0.0,0.0,0.0,0.0,27.289125120148668,0.0,0.0,0.0,,,,23,2,0,40,True,True,True,True,True,True,True,True,0.7329085543719109,58.479600468572194,0.009054012999968108
