run_key,status,province,block_id,budget_fraction,budget_k,method,candidate_count,hidden_stations,robustness_family,partition_mode,block_seed,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds,swaps,local_evaluations
0|kmeans|block_partition|hochiminh|2|B5_static_coverage,ok,hochiminh,2,0.05,48,B5_static_coverage,960,79,block_partition,kmeans,0,48,0.08259925518438366,0.09543235712625797,0.045693931073143956,0.33148999710748717,0.7043245760772168,4.370545641870398,16.10831422821551,0.03382389585218543,0.5074513588401441,0.006045487635031065,0.0041774524491977995,0.019802327654476478,0.0,17.177232750345567,0.2879327500412714,0.326166510152744,0.5695826322897596,0.02099617926117999,0.012807729546609477,0.034766382491105495,3768,48,True,True,True,True,True,True,True,True,0.5074513588401441,0.25568673924019586,0.5118027550001898,,
0|kmeans|block_partition|hochiminh|2|B6_evspark_cover,ok,hochiminh,2,0.05,48,B6_evspark_cover,960,79,block_partition,kmeans,0,48,0.30501567142316194,0.10004837384752707,0.15891844480829942,0.392358778172476,0.6507107487037296,1.3321036933223158,4.479331560955123,0.021369732285227903,0.5644859056671184,0.18118732811391863,0.1899250512876859,0.449948191463453,0.55,6.31451880513538,0.2879327500412714,0.326166510152744,0.5695826322897596,0.6292696057949219,0.5822947647161686,0.7899612206478834,1341,48,True,True,True,True,True,True,True,True,0.5644859056671184,0.3122996664757522,0.14912406000030387,0.0,0.0
0|kmeans|block_partition|haiphong|0|B5_static_coverage,ok,haiphong,0,0.05,8,B5_static_coverage,153,25,block_partition,kmeans,0,8,0.001818064728128572,0.03929603743043773,0.21694164611916109,0.27398496260403155,0.7555656452082011,4.297637187198269,18.195400664653324,0.1978262462140769,0.6880591025822893,0.0,0.0,0.0,0.0,32.93161642891628,0.1548772071063852,0.17889771595931192,0.21487473313393335,0.0,0.0,0.0,305,8,True,True,True,True,True,True,True,True,0.6880591025822893,0.6415840875004728,0.025428196000120806,,
0|kmeans|block_partition|haiphong|0|B6_evspark_cover,ok,haiphong,0,0.05,8,B6_evspark_cover,153,25,block_partition,kmeans,0,8,0.11981801634700598,0.04724658395246363,0.05223471658113214,0.2998025975054161,0.7320795538646996,1.822548700646029,5.622934734206533,0.09693877551020409,0.5933390717590676,0.1230214965099212,0.1388219220958669,0.17479893927048834,0.14285714285714285,5.247809995077794,0.1548772071063852,0.17889771595931192,0.21487473313393335,0.7943163413672465,0.7759848768971441,0.8134922925606828,169,8,True,True,True,True,True,True,True,True,0.5933390717590676,3.1813523870452474,0.01334724600019399,0.0,0.0
0|kmeans|block_partition|haiphong|1|B5_static_coverage,ok,haiphong,1,0.05,9,B5_static_coverage,171,80,block_partition,kmeans,0,9,0.293370027902625,0.13236507959783078,0.2504306262240188,0.16881632200293717,0.8490757791708106,5.142238863409459,14.64398082174852,0.1781704137220598,0.5079888649318655,0.06892542331499901,0.08998042814058578,0.16764884995320378,0.15,8.524969400048715,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.18275591508568995,0.1926880191924114,0.27498939900967967,401,9,True,True,True,True,True,True,True,True,0.5079888649318655,18.33525298605023,0.03366442600008668,,
0|kmeans|block_partition|haiphong|1|B6_evspark_cover,ok,haiphong,1,0.05,9,B6_evspark_cover,171,80,block_partition,kmeans,0,9,0.3382146914411251,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.5079888649318655,0.1188622913002749,0.10191308624280032,0.2076617338443473,0.2,8.487372049315052,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.31516363296729205,0.21824113447458804,0.34062133681862367,424,9,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.047463592999974935,0.0,0.0
0|kmeans|block_partition|haiphong|2|B5_static_coverage,ok,haiphong,2,0.05,8,B5_static_coverage,151,38,block_partition,kmeans,0,8,0.0016706660913714685,0.03929603743043773,0.2079418835072308,0.26081552147737286,0.7676381953734106,3.9370260136932824,10.873499386089133,0.1978262462140769,0.6880591025822893,0.0,0.0,0.0,0.0,39.21953265636847,0.09983086703645772,0.09630891792350528,0.37112466714149617,0.0,0.0,0.0,303,8,True,True,True,True,True,True,True,True,0.6880591025822893,0.6415840875004728,0.02552930000001652,,
0|kmeans|block_partition|haiphong|2|B6_evspark_cover,ok,haiphong,2,0.05,8,B6_evspark_cover,151,38,block_partition,kmeans,0,8,0.12246541356158828,0.03668965621004943,0.037091853076024486,0.2895021347938257,0.7416058850882046,2.1949042341579514,7.192547097413856,0.07129865835222979,0.9840360061615944,0.09363820013826578,0.08753358833308691,0.3623493375510778,0.3,9.375429979024645,0.09983086703645772,0.09630891792350528,0.37112466714149617,0.937968415160309,0.908883520035099,0.9763547660197087,171,8,True,True,True,True,True,True,True,True,0.9840360061615944,3.1813523870452474,0.014005747999817686,0.0,0.0
0|kmeans|block_partition|danang|0|B5_static_coverage,ok,danang,0,0.05,13,B5_static_coverage,251,92,block_partition,kmeans,0,13,0.3778008004452785,0.20047625448244732,0.38119060889588086,0.11364176672443389,0.8978815119657986,5.1916500393031795,23.356528626471526,0.22321410989398105,0.5158851956773612,0.10036502877409331,0.11983702948301451,0.28731400891913667,0.34782608695652173,6.083468567590037,0.7002753928982426,0.7754220885485293,0.8445892264483288,0.14332222692948088,0.154544255641893,0.3401819487176637,607,13,True,True,True,True,True,True,True,True,0.5158851956773612,12.069316765299254,0.0684390009996605,,
0|kmeans|block_partition|danang|0|B6_evspark_cover,ok,danang,0,0.05,13,B6_evspark_cover,251,92,block_partition,kmeans,0,13,0.40118365165900766,0.21831064756812227,0.2779324829609045,0.12284056803611766,0.8896741274637567,4.562528108008098,23.356528626471526,0.13285714673961388,0.571794767945089,0.15622515303237966,0.16117792055430283,0.35756647369529243,0.30434782608695654,4.779954596679665,0.7002753928982426,0.7754220885485293,0.8445892264483288,0.22309102192754163,0.2078583044442325,0.4233613956916464,677,13,True,True,True,True,True,True,True,True,0.571794767945089,12.075848953145899,0.07733539399987421,0.0,0.0
