radius_km,alpha,fold,period,status,n_train,n_val,macro_spearman,macro_nmae,intercept,beta__tourism_hotel,beta__market_local,beta__commercial_industrial_area,beta__mall_supermarket,beta__transport_hub,beta__parking
1.0,0.0,3,weekend_midday,ok,2051,478,-0.0019067627922823224,0.718499932137105,0.21712904071062364,2.9965782689615677e-18,1.0208775444645439e-21,0.009771948374435012,0.02283132494835451,0.01846561928483722,0.0022484315405030394
1.0,0.0,3,weekend_evening,ok,2051,478,-0.028289880049195776,0.709638575451983,0.24568799668066793,5.941372834378814e-19,1.9403046230224365e-22,0.012346187209701084,0.01919009384498958,0.0019714339989124904,0.0030927004566782103
1.0,0.0,4,weekday_morning,ok,2073,456,-0.11037260636863071,0.8363080049008381,0.17556079594608565,0.0002537375537062759,2.7870222260455046e-18,0.010986243598688706,0.00341236909848569,0.005048222758320842,0.00239959008709624
1.0,0.0,4,weekday_evening,ok,2073,456,-0.07765729519365656,0.7736214330390908,0.22717795678475358,0.0002319198416336291,1.4985841528897618e-14,0.011514304894209433,0.006020910946932806,1.4069163433685158e-12,0.00045307847071549457
1.0,0.0,4,weekend_midday,ok,2073,456,-0.07966558423302009,0.8406407937959127,0.22427187672487384,9.452323721502829e-05,4.909228950658462e-19,0.009019661709960521,0.01338478833324847,0.015143683801802713,4.1699872668990424e-05
1.0,0.0,4,weekend_evening,ok,2073,456,-0.08040720639126751,0.794544408466832,0.25230155721014214,0.00010980395816009274,3.0822661047546763e-15,0.012996581658910161,0.008187914303048688,9.162916235540576e-18,0.0008554039437573438
1.0,0.0,5,weekday_morning,ok,1952,577,0.05080470115475788,0.81638771287477,0.1765539938419199,1.1170089491557577e-16,4.1613782403983015e-17,0.007210242652501828,0.012580338774000822,0.006703768869656262,0.004513909531950912
1.0,0.0,5,weekday_evening,ok,1952,577,0.0681616531559677,0.7494164626327264,0.22420058819934283,2.74661801235949e-13,1.4633492549103899e-15,0.008098171359878744,0.013485983967454243,0.006630979975757381,0.0024930365113080134
1.0,0.0,5,weekend_midday,ok,1952,577,0.041750525353332756,0.7806116791971548,0.2221610294955697,1.4147980268675392e-13,8.672435202510691e-15,0.006535160216748556,0.014827492797772008,0.02050624113022436,0.005329121106588409
1.0,0.0,5,weekend_evening,ok,1952,577,0.04604425723833753,0.776613872266208,0.2510790640016234,4.342701382454178e-19,1.081197710329044e-18,0.00880598759475767,0.014838112180868245,0.007582267705981377,0.0036014175049498003
1.0,0.01,1,weekday_morning,ok,2033,496,0.1307423468028075,0.7361015748565238,0.1780557749212504,4.6763593916024827e-11,3.937032842636774e-14,0.00804773555964581,0.008026516979295488,0.015954473309583522,1.8614325455789366e-21
1.0,0.01,1,weekday_evening,ok,2033,496,0.1376210017300579,0.7362313316870642,0.23059456146964916,0.00048182468650659566,1.866050505248636e-15,0.0072538778541124385,0.01167533066680493,0.012854312027645483,7.035473545287274e-29
1.0,0.01,1,weekend_midday,ok,2033,496,0.10449491217193518,0.6914851368400556,0.22138466713345156,4.878001388149555e-16,0.0014488676555941204,0.006131490775465784,0.01775491651637961,0.027161976712311978,7.676430416431793e-24
1.0,0.01,1,weekend_evening,ok,2033,496,0.1113933807663087,0.7199365350284153,0.2536526556511233,0.0006401784664808365,0.000560918285570038,0.008660377254843631,0.012383222142283075,0.011395159273567981,1.0681754909485397e-21
1.0,0.01,2,weekday_morning,ok,2007,522,0.07142816940803272,0.7141588762518677,0.17252308415389292,0.0001406676821437987,1.8396637514142123e-14,0.0018285408587427711,0.003280236668490428,0.017918262706180993,0.002788724524985447
1.0,0.01,2,weekday_evening,ok,2007,522,0.05680741198452371,0.6558244858918602,0.2236727865952884,2.3966019644355456e-07,4.2492929016580044e-32,0.0015067599093917992,0.01089552091733063,0.010325351910284943,0.0003757645156588724
1.0,0.01,2,weekend_midday,ok,2007,522,0.03342527304673506,0.7051979548868391,0.21696756883149212,1.1937602438750463e-17,8.040912356421263e-24,2.1926801237656227e-23,0.01561095633681884,0.02607186159766047,0.002123048453923228
1.0,0.01,2,weekend_evening,ok,2007,522,0.05970103523697199,0.6728062911337771,0.24552247236220734,5.283379076767556e-12,2.2784469616154415e-19,0.003228783866315761,0.010127022026308573,0.011515417664300946,0.0027129751562662324
1.0,0.01,3,weekday_morning,ok,2051,478,0.033906771667006265,0.754171249181883,0.17115674030754333,2.724708923662515e-17,3.2162281367325998e-21,0.011111062401001905,0.01175821912857148,0.01091955616564773,0.003659256113671211
1.0,0.01,3,weekday_evening,ok,2051,478,-0.031266269855366534,0.7081787445132904,0.22029981509843952,6.641451771672328e-15,9.345773601863968e-21,0.011467117160153743,0.018214464138348853,0.005777430118700087,0.0019092772163431119
1.0,0.01,3,weekend_midday,ok,2051,478,-0.0019067627922823224,0.7184997355607662,0.2171291326522497,3.0080919186923155e-18,1.024775280953692e-21,0.009771961214184463,0.022831150507857324,0.018464665236904886,0.0022485192194253937
1.0,0.01,3,weekend_evening,ok,2051,478,-0.028289880049195776,0.7096385426565729,0.24568803111996868,5.955832436162381e-19,1.944920153515576e-22,0.012346168169316907,0.01918985357573461,0.001971476618818843,0.003092738722763569
1.0,0.01,4,weekday_morning,ok,2073,456,-0.11037260636863071,0.8363080292049783,0.17556082527919833,0.00025374363619608845,2.786101703270704e-18,0.010986214584004428,0.0034123535092229354,0.005047928526483076,0.0023995931126047933
1.0,0.01,4,weekday_evening,ok,2073,456,-0.07765729519365656,0.7736214301644244,0.227177972095704,0.0002319257397331873,1.4983048313237515e-14,0.01151427558448651,0.006020816116541589,1.406826143239417e-12,0.0004530981923633951
1.0,0.01,4,weekend_midday,ok,2073,456,-0.07966558423302009,0.8406408097656471,0.22427195143512277,9.454608750878657e-05,4.885466414014235e-19,0.009019661952378015,0.013384614340459951,0.015142798223120103,4.175429342067971e-05
1.0,0.01,4,weekend_evening,ok,2073,456,-0.08040720639126751,0.7945444120471321,0.2523015765250396,0.00010981234640545937,3.080489129926986e-15,0.012996551571660324,0.008187780468644728,9.157867553136413e-18,0.0008554269512934335
1.0,0.01,5,weekday_morning,ok,1952,577,0.05080470115475788,0.8163876803744582,0.17655404865761357,1.1189033532832417e-16,4.1718775663652547e-17,0.007210267349842747,0.012580129196097108,0.006703392398370605,0.0045139019812277265
1.0,0.01,5,weekday_evening,ok,1952,577,0.0681616531559677,0.7494164530289683,0.2242006430997532,2.7478525701923896e-13,1.464256818453329e-15,0.008098193832307612,0.013485752574530814,0.0066306140327323975,0.0024930499383427657
1.0,0.01,5,weekend_midday,ok,1952,577,0.04173614703080624,0.7806117158235434,0.22216114465915113,1.4168444930773424e-13,8.69043195851259e-15,0.0065352111266724884,0.014827297976049982,0.020504964233180756,0.0053291072626121165
1.0,0.01,5,weekend_evening,ok,1952,577,0.04604425723833753,0.7766138090131979,0.25107912617075123,4.345427330313452e-19,1.0822920832041488e-18,0.008806013771217312,0.014837860530039345,0.007581845853251231,0.0036014244084794493
1.0,0.1,1,weekday_morning,ok,2033,496,0.1307423468028075,0.7361022609707354,0.17805643147192135,4.85521361088231e-11,4.0691831425779867e-14,0.00804774393304796,0.008026581009953472,0.01594704397968348,1.9203105132285495e-21
1.0,0.1,1,weekday_evening,ok,2033,496,0.13769754261545725,0.7362321823179773,0.23059515010158457,0.0004820463965327489,1.908052930398416e-15,0.007254063479070184,0.01167378997046506,0.012848324344261225,7.154762335850528e-29
1.0,0.1,1,weekend_midday,ok,2033,496,0.10516147660301359,0.6914870360423115,0.2213857853814555,4.777925872318016e-16,0.0014515473142861649,0.0061317652226159525,0.017752473221113504,0.027148710742794357,7.639717717371326e-24
1.0,0.1,1,weekend_evening,ok,2033,496,0.1114020770710222,0.7199381302096529,0.2536532040360843,0.0006402153337122558,0.000562357255659335,0.00866041192357805,0.012381317414887892,0.011389768485197165,1.0259807706601811e-21
1.0,0.1,2,weekday_morning,ok,2007,522,0.07142816940803272,0.7141581023926249,0.17252373904627188,0.0001407750156639323,1.828577134527725e-14,0.0018285944473604133,0.0032806996422866347,0.017909133529106933,0.0027887725881360014
1.0,0.1,2,weekday_evening,ok,2007,522,0.05676677806868154,0.655824107919202,0.22367321177604768,3.24419872173723e-07,4.2438976308305556e-32,0.0015071195720268978,0.010894188223208312,0.01032071667812514,0.0003761315534547079
1.0,0.1,2,weekend_midday,ok,2007,522,0.04672441302811626,0.70519732945328,0.2169686127347495,1.265884331606744e-17,8.489330280017605e-24,2.2768603682910366e-23,0.015610724215383655,0.026059579912143357,0.0021237258281914823
1.0,0.1,2,weekend_evening,ok,2007,522,0.05970103523697199,0.6728060074927315,0.24552295508070374,5.473170158454553e-12,2.3485493831060325e-19,0.0032289389543686403,0.010126432602903223,0.01151025737953143,0.0027132439219515886
1.0,0.1,3,weekday_morning,ok,2051,478,0.0302828717198018,0.7541700851962668,0.1711572529864437,2.826163062646905e-17,3.3331538952762506e-21,0.01111093377946282,0.011757639419669208,0.010914457350856652,0.0036595414677081084
1.0,0.1,3,weekday_evening,ok,2051,478,-0.031266269855366534,0.7081781103653536,0.22030022321190323,6.791404749811042e-15,9.53878358738833e-21,0.011466995995110214,0.0182126493575377,0.005775600113160795,0.0019097473883022441
1.0,0.1,3,weekend_midday,ok,2051,478,-0.0019067627922823224,0.718497967269271,0.21712995982458133,3.1137001322173177e-18,1.0605200516277578e-21,0.009772076659622165,0.022829580146932836,0.01845608400985176,0.0022493080483595982
1.0,0.1,3,weekend_evening,ok,2051,478,-0.028289880049195776,0.7096382474798575,0.24568834106591245,6.087549881939583e-19,1.9869467497956616e-22,0.012345996789736715,0.019187691503760377,0.001971859803051648,0.0030930830393940635
1.0,0.1,4,weekday_morning,ok,2073,456,-0.11037260636863071,0.8363082478040971,0.17556108917754995,0.0002537983616595577,2.7778400236453288e-18,0.010985953446637843,0.0034122130938931904,0.005045282107895663,0.0023996203056301595
1.0,0.1,4,weekday_evening,ok,2073,456,-0.07765729519365656,0.7736214042904153,0.22717810988193865,0.0002319788132444075,1.495793421749347e-14,0.011514011790946774,0.006019962811242308,1.4060149955435952e-12,0.00045327565063073034
