run_key,status,province,block_id,budget_fraction,budget_k,method,candidate_count,hidden_stations,robustness_family,temporal_condition,excluded_local_date,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds,swaps,local_evaluations
2026-06-16|temporal_lodo|exclude_2026-06-16|hanoi|0|B5_static_coverage,ok,hanoi,0,0.05,36,B5_static_coverage,719,225,temporal_lodo,exclude_2026-06-16,2026-06-16,36,0.6214028224867904,0.3383217764897535,0.4367964684920544,0.27147561152169747,0.7553220307602064,2.3121731298073858,10.131288678115846,0.06996664779726915,0.5403140491225615,0.19087040412075412,0.22233968792147923,0.4001321299593942,0.3684210526315789,6.779233889638187,0.5983312101897318,0.665205379662156,0.8265205515516202,0.3190045928913332,0.3342421674857785,0.4841163709822211,4391,36,True,True,True,True,True,True,True,True,0.5403140491225615,3.142293708139493,1.1673175579999224,,
2026-06-16|temporal_lodo|exclude_2026-06-16|hanoi|0|B6_evspark_cover,ok,hanoi,0,0.05,36,B6_evspark_cover,719,225,temporal_lodo,exclude_2026-06-16,2026-06-16,36,0.6307838942703516,0.3256441350576571,0.401928651774992,0.268823198768625,0.7563701454841354,1.8988593888824403,6.080674149035105,0.06366388787264074,0.5069970206826645,0.1976035840064647,0.23122541396211843,0.45315691732299884,0.45614035087719296,5.023404345626638,0.5983312101897318,0.665205379662156,0.8265205515516202,0.3302578582584791,0.3476000360663845,0.5482705983200189,4427,36,True,True,True,True,True,True,True,True,0.5069970206826645,5.634083405707175,1.2889562690002094,0.0,0.0
2026-06-16|temporal_lodo|exclude_2026-06-16|hanoi|1|B5_static_coverage,ok,hanoi,1,0.05,32,B5_static_coverage,631,75,temporal_lodo,exclude_2026-06-16,2026-06-16,32,0.0015545527133404898,0.14082712611150505,0.48592099713815634,0.36957239995742236,0.6703732178630926,1.5657784798517338,5.438249740528249,0.07502223684052774,0.5333075322818357,0.0,0.0,0.0,0.0,21.027969570328132,0.20744668365798588,0.22370506900909376,0.3771705746687034,0.0,0.0,0.0,3653,32,True,True,True,True,True,True,True,True,0.5333075322818357,0.2732813175434347,0.6103688090001924,,
2026-06-16|temporal_lodo|exclude_2026-06-16|hanoi|1|B6_evspark_cover,ok,hanoi,1,0.05,32,B6_evspark_cover,631,75,temporal_lodo,exclude_2026-06-16,2026-06-16,32,0.2676088585406586,0.025374448809864662,0.06662270463068908,0.44119440573120616,0.6071372061717402,0.9887066933012024,2.3310815106185565,0.02947262949484621,0.5468427458034067,0.1855417950946129,0.20749770061073658,0.3502885867629076,0.21052631578947367,3.8918197384418636,0.20744668365798588,0.22370506900909376,0.3771705746687034,0.8944071402968908,0.9275502854264857,0.9287272398452391,715,32,True,True,True,True,True,True,True,True,0.5468427458034067,0.7964293735622842,0.0894213269998545,0.0,0.0
2026-06-16|temporal_lodo|exclude_2026-06-16|hanoi|2|B5_static_coverage,ok,hanoi,2,0.05,32,B5_static_coverage,631,60,temporal_lodo,exclude_2026-06-16,2026-06-16,32,0.0015370973392859013,0.14082712611150505,0.5111976050610381,0.4282340944525938,0.6183504457765818,1.946659382332799,11.195857222815281,0.07502223684052774,0.5333075322818357,0.0,0.0,0.0,0.0,25.85494316173642,0.19966443836034864,0.2074413222858841,0.5084461603230606,0.0,0.0,0.0,3653,32,True,True,True,True,True,True,True,True,0.5333075322818357,0.2732813175434347,0.6041483220001282,,
2026-06-16|temporal_lodo|exclude_2026-06-16|hanoi|2|B6_evspark_cover,ok,hanoi,2,0.05,32,B6_evspark_cover,631,60,temporal_lodo,exclude_2026-06-16,2026-06-16,32,0.29781539102208626,0.026396873608321283,0.05586296089442331,0.5093085756569216,0.5470236556724184,0.9687010150338754,2.2409334922618704,0.018877289078399917,0.8230363822913537,0.17369178843848385,0.18014991796545096,0.47159098143260086,0.7333333333333333,3.462602177941344,0.19966443836034864,0.2074413222858841,0.5084461603230606,0.8699184985811539,0.8684379562389134,0.9275140973293173,705,32,True,True,True,True,True,True,True,True,0.8230363822913537,0.5349942717925547,0.08858579999969152,0.0,0.0
2026-06-16|temporal_lodo|exclude_2026-06-16|hochiminh|0|B5_static_coverage,ok,hochiminh,0,0.05,49,B5_static_coverage,969,86,temporal_lodo,exclude_2026-06-16,2026-06-16,49,0.3004191993861832,0.12232045835405164,0.1715846771959155,0.34408768039669035,0.6932442143557327,4.195061090695726,13.668544516182692,0.03437365333202691,0.5074513588401441,0.12911360170576128,0.1497545943837187,0.2998493199391977,0.3181818181818182,6.878008518902976,0.4585451877210651,0.5188182902707292,0.705374476516974,0.28157225321117446,0.28864555701298406,0.42509238698259333,3935,49,True,True,True,True,True,True,True,True,0.5074513588401441,0.2621537355367528,0.5872365979998904,,
2026-06-16|temporal_lodo|exclude_2026-06-16|hochiminh|0|B6_evspark_cover,ok,hochiminh,0,0.05,49,B6_evspark_cover,969,86,temporal_lodo,exclude_2026-06-16,2026-06-16,49,0.503714197215125,0.1755687538897751,0.26599871724130114,0.3891548201954613,0.6537117417536997,1.5628546289144212,6.814277327554186,0.03546178421873907,0.537514407506252,0.2720528307402652,0.30743779741433397,0.5168307849630317,0.45454545454545453,3.4578107413010155,0.4585451877210651,0.5188182902707292,0.705374476516974,0.5932955748425737,0.5925731670984596,0.7327041198244926,1661,49,True,True,True,True,True,True,True,True,0.537514407506252,2.8650189890318716,0.17240968099986276,0.0,0.0
2026-06-16|temporal_lodo|exclude_2026-06-16|hochiminh|1|B5_static_coverage,ok,hochiminh,1,0.05,55,B5_static_coverage,1087,397,temporal_lodo,exclude_2026-06-16,2026-06-16,55,0.4155449233467892,0.212247345052826,0.27840910259638685,0.25608597651450987,0.7695100838349669,3.8745731438264963,6.832857818579551,0.029335693811807655,0.500888527841632,0.15753720228229962,0.16178761280278503,0.3648251437014346,0.44,4.928743751519602,0.5980189985981164,0.6808740210378239,0.8678231754611319,0.26343176830769643,0.23761754422085288,0.42039110502848565,4821,55,True,True,True,True,True,True,True,True,0.500888527841632,0.25568673924019586,0.7543866410001101,,
2026-06-16|temporal_lodo|exclude_2026-06-16|hochiminh|1|B6_evspark_cover,ok,hochiminh,1,0.05,55,B6_evspark_cover,1087,397,temporal_lodo,exclude_2026-06-16,2026-06-16,55,0.5022998389793152,0.2171860635434446,0.31430499530523404,0.2776446481110026,0.7492322166234975,1.6317664408465293,4.935047833922207,0.03291647822512339,0.500888527841632,0.20526513274177677,0.2275061283003436,0.4412700310193278,0.55,3.665893151913319,0.5980189985981164,0.6808740210378239,0.8678231754611319,0.34324182546534787,0.33413835933050706,0.50847919656542,5338,55,True,True,True,True,True,True,True,True,0.500888527841632,0.9248627652430644,0.7795950859999721,0.0,0.0
