run_key,status,province,block_id,variant,budget_k,candidate_count,ablation_dexisting,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
ablation_v13|hochiminh|2|A1_no_temporal,ok,hochiminh,2,A1_no_temporal,49,969,0.25,49,0.5040542908984746,0.1757537245695463,0.26599871724130114,0.38923983012582397,0.6535916892863396,1.5604808363287432,6.760231890534339,0.03546178421873907,0.537514407506252,0.27264260919566885,0.3077870916420704,0.5171030036843696,0.45454545454545453,3.4578107413010155,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.5935007811928389,0.5919656581886865,0.7328706246892467,1662,49,0,0,True,True,True,True,True,True,True,True,0.537514407506252,2.8650189890318716,0.17901258599977155
ablation_v13|hochiminh|2|A2_no_existing_network,ok,hochiminh,2,A2_no_existing_network,57,1126,0.0,57,0.43766207112777034,0.1575886767500152,0.1796461113761082,0.3523636886772302,0.6856929823157925,4.173222444987593,13.001365927244876,0.0281497925790086,0.500888527841632,0.1351841940122536,0.16205765139666023,0.3332687742279518,0.36363636363636365,5.928861149399679,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.29427507676768283,0.31168482005443526,0.4723292903302106,4674,57,0,0,True,True,True,True,True,True,True,True,0.500888527841632,0.11877837143328232,0.6511947670001064
ablation_v13|hochiminh|2|A3_no_equity,ok,hochiminh,2,A3_no_equity,49,969,0.25,49,0.23339035442989625,0.1763523052432759,0.26258000448099955,0.3901960829865152,0.6527743809014481,1.5636855176208115,6.760231890534339,0.03478786951923508,0.537514407506252,0.27198125348710406,0.3077870916420704,0.5171030036843696,0.45454545454545453,3.500555433756163,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.5920611121299674,0.5919656581886865,0.7328706246892467,1658,49,0,0,True,True,True,True,True,True,True,True,0.537514407506252,2.2266544111188047,0.2978098759999739
ablation_v13|hochiminh|2|A4_no_local_search,ok,hochiminh,2,A4_no_local_search,49,969,0.25,49,0.5039523938539496,0.1757537245695463,0.26599871724130114,0.38923983012582397,0.6535916892863396,1.5604808363287432,6.760231890534339,0.03546178421873907,0.537514407506252,0.27264260919566885,0.3077870916420704,0.5171030036843696,0.45454545454545453,3.4578107413010155,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.5935007811928389,0.5919656581886865,0.7328706246892467,1663,49,0,0,True,True,True,True,True,True,True,True,0.537514407506252,2.8650189890318716,0.27327229599995917
ablation_v13|hochiminh|2|Full,ok,hochiminh,2,Full,49,969,0.25,49,0.5039523938539496,0.1757537245695463,0.26599871724130114,0.38923983012582397,0.6535916892863396,1.5604808363287432,6.760231890534339,0.03546178421873907,0.537514407506252,0.27264260919566885,0.3077870916420704,0.5171030036843696,0.45454545454545453,3.4578107413010155,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.5935007811928389,0.5919656581886865,0.7328706246892467,1663,49,0,0,True,True,True,True,True,True,True,True,0.537514407506252,2.8650189890318716,0.27280709599972397
ablation_v13|haiphong|0|A1_no_temporal,ok,haiphong,0,A1_no_temporal,9,171,0.25,9,0.33815412250041244,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.5079888649318655,0.1188622913002749,0.10191308624280032,0.2076617338443473,0.2,8.487372049315052,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.31516363296729205,0.21824113447458804,0.34062133681862367,424,9,0,0,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.059455771000102686
ablation_v13|haiphong|0|A2_no_existing_network,ok,haiphong,0,A2_no_existing_network,9,173,0.0,9,0.27987728747098145,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.5079888649318655,0.1188622913002749,0.10191308624280032,0.2076617338443473,0.2,8.487372049315052,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.31516363296729205,0.21824113447458804,0.34062133681862367,426,9,0,0,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.06637637500034543
ablation_v13|haiphong|0|A3_no_equity,ok,haiphong,0,A3_no_equity,9,171,0.25,9,0.2798772874709814,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.5079888649318655,0.1188622913002749,0.10191308624280032,0.2076617338443473,0.2,8.487372049315052,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.31516363296729205,0.21824113447458804,0.34062133681862367,424,9,0,0,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.05273686600003202
ablation_v13|haiphong|0|A4_no_local_search,ok,haiphong,0,A4_no_local_search,9,171,0.25,9,0.3382146914411251,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.5079888649318655,0.1188622913002749,0.10191308624280032,0.2076617338443473,0.2,8.487372049315052,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.31516363296729205,0.21824113447458804,0.34062133681862367,424,9,0,0,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.07322579999981826
ablation_v13|haiphong|0|Full,ok,haiphong,0,Full,9,171,0.25,9,0.3382146914411251,0.1728503568915838,0.16464645347203186,0.16187880449898678,0.8550674335912816,5.890533233244485,18.024457178772646,0.22690585142998534,0.5079888649318655,0.1188622913002749,0.10191308624280032,0.2076617338443473,0.2,8.487372049315052,0.37714469204830664,0.4669746905786318,0.6096556832989133,0.31516363296729205,0.21824113447458804,0.34062133681862367,424,9,0,0,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.08013756999980615
